position translation (mm), Output photodiode(V),gain (dB),Offset(V)
0,7.52,20,0.012
0.5,7.52,20,0.012
1,7.52,20,0.012
1.5,7.52,20,0.012
2,7.5,20,0.012
2.2,7.49,20,0.012
2.4,7.48,20,0.012
2.6,7.45,20,0.012
2.8,7.35,20,0.012
2.9,7.32,20,0.012
3,7.21,20,0.012
3.1,7.035,20,0.012
3.2,6.78,20,0.012
3.3,6.33,20,0.012
3.4,5.75,20,0.012
3.5,5.03,20,0.012
3.6,4.19,20,0.012
3.7,3.32,20,0.012
3.8,2.52,20,0.012
3.9,1.83,20,0.012
4,1.33,20,0.012
4.1,0.964,20,0.012
4.2,0.698,20,0.012
4.3,0.521,20,0.012
4.4,3.21,40,0.01
4.5,2.5,40,0.01
4.6,1.99,40,0.01
4.7,1.66,40,0.01
4.8,1.41,40,0.01
4.9,1.26,40,0.01
5,1.16,40,0.01
5.2,1.04,40,0.01
5.4,0.887,40,0.01
6,7.27,60,-0.025
7,0.5,60,-0.025
