position translation (mm), Output photodiode(V),gain (dB),Offset(V)
0,7.01,0,0.014
1,7.0,0,0.014
1.5,6.99,0,0.014
2,6.97,0,0.014
2.1,6.95,0,0.014
2.2,6.92,0,0.014
2.3,6.89,0,0.014
2.4,6.84,0,0.014
2.5,6.78,0,0.014
2.6,6.71,0,0.014
2.7,6.6,0,0.014
2.8,6.46,0,0.014
2.9,6.29,0,0.014
3,6.08,0,0.014
3.1,5.81,0,0.014
3.2,5.5,0,0.014
3.3,5.13,0,0.014
3.4,4.7,0,0.014
3.5,4.27,0,0.014
3.6,3.78,0,0.014
3.7,3.3,0,0.014
3.8,2.84,0,0.014
3.9,2.39,0,0.014
4,1.97,0,0.014
4.1,1.59,0,0.014
4.2,1.25,0,0.014
4.3,0.996,0,0.014
4.4,0.772,0,0.014
4.5,0.592,0,0.014
4.6,4.41,20,0.015
4.7,3.27,20,0.015
4.8,2.41,20,0.015
4.9,1.76,20,0.015
5,1.256,20,0.015
5.1,0.9,20,0.015
5.2,0.637,20,0.015
5.3,4.29,40,0.019
5.4,2.97,40,0.019
5.5,1.99,40,0.019
5.6,1.3,40,0.019
5.7,0.843,40,0.019
5.8,0.549,40,0.019
6,7.056,70,0.148
6.5,0.761,70,0.148
7,0.256,70,0.148
8,0.168,70,0.148

